longitude,latitude,COUNTRY,Demonym
-170.70073161745,-14.3057119877705,American Samoa,samoan
-161.465133304837,-17.4353700301302,Cook Islands,cook islander
-145.255376012188,-13.5263167396066,French Polynesia,french polynesian
-169.868781066991,-19.0523092168039,Niue,niuean
-129.033489767943,-24.6538069190257,Pitcairn,pitcairn islander
-172.145882100183,-13.7607512523878,Samoa,samoan
-171.852659507227,-9.19517476725654,Tokelau,tokelauan
-174.682176519342,-20.0592509350529,Tonga,tongan
-88.8591148923899,13.7580415170554,El Salvador,salvadorean
-90.3121934911962,15.8208785153527,Guatemala,guatemalan
-103.120439371767,23.6439484342679,Mexico,mexican
-93.566634661058,62.3658719808934,Canada,canadian
-64.4431516743529,-37.6056445252525,Argentina,argentine
-59.5178125154269,-51.7520904300558,Falkland Islands,falkland islander
-81.2554503446457,-34.3282375613003,Chile,chilean
-82.3389759590806,-1.2980654335323,Ecuador,ecuadorean
-74.1141619678188,-8.52271798424029,Peru,peruvian
-64.4520959751121,-16.7312488393574,Bolivia,bolivian
-54.3552066082564,-11.5246304164267,Brazil,brazilian
-58.3890635742865,-23.4219055925943,Paraguay,paraguayan
-56.0191952345808,-32.7819504383109,Uruguay,uruguayan
-173.957122161842,-76.4855136383415,Antarctica,antarctic
178.695172915376,-17.6205242670057,Fiji,fijian
-5.71739162081311,-15.9629633183404,Saint Helena,saint helenian
-63.0600834377181,18.2228740042191,Anguilla,anguillan
-61.7918700297888,17.3218835862272,Antigua and Barbuda,antiguan
-69.9756401428405,12.5156257229929,Aruba,arubian
-75.9475704926376,23.9719808447216,Bahamas,bahameese
-59.5573839491503,13.1832193693375,Barbados,barbadian
-88.5802147985989,17.2945936892639,Belize,belizean
-64.7458500599169,32.3150674307407,Bermuda,bermudan
-64.5174186635908,18.4466279828583,British Virgin Islands,virgin islander
-81.2520320897788,19.3112318056203,Cayman Islands,caymanian
-73.8458251770703,5.29423461043587,Colombia,colombian
-84.1467362570182,9.86346740740621,Costa Rica,costa rican
-79.6459652585029,21.5003682099557,Cuba,cuban
-61.360471946943,15.4292698609405,Dominica,dominican
-70.4047597371691,18.7554259962832,Dominican Republic,dominican
-53.3223230715662,3.85742974249708,French Guiana,french guianese
-61.679379372041,12.1129266563389,Grenada,grenadian
-61.4799993148916,16.1688015434676,Guadeloupe,guadeloupean
-58.9135261275467,4.68211981385056,Guyana,guyanese
-72.8862271382651,18.9117686346855,Haiti,haitian
-86.4818928458523,14.8144336112471,Honduras,honduran
-77.3035889454278,18.1220788934165,Jamaica,jamaican
-61.0143238087508,14.6426973535976,Martinique,martinican
-62.1869328125626,16.7353633914604,Montserrat,montserratian
-85.016088327669,12.8935666319306,Nicaragua,nicaraguan
-80.1759017554306,8.4223118461437,Panama,panamanian
-66.416588433247,18.2104178901877,Puerto Rico,puerto rican
-62.7456038589579,17.3147362995878,Saint Kitts and Nevis,kittian
-60.9689510935251,13.8957491851299,Saint Lucia,saint lucian
-55.8555143115613,4.09872359592017,Suriname,surinamer
-61.2197021599914,10.5800557629749,Trinidad and Tobago,trinidadian
-71.5874961978158,21.7145641469767,Turks and Caicos Islands,turks and caicos islander
-66.3611235270097,7.16282059783679,Venezuela,venezuelan
-1.69328162118423,12.1087090363127,Burkina Faso,burkinabe
-15.3833803858697,13.4286179591893,Gambia,gambian
-1.21923336252658,7.94530467243628,Ghana,ghanaian
-5.34554948459436,36.1402267133608,Gibraltar,gibraltarian
-10.9869488480402,10.2559865413781,Guinea,guinean
-15.1530596981327,11.8905100556201,Guinea-Bissau,guinean
-9.25898893549762,6.52012979398834,Liberia,liberian
-4.34639984178115,17.1681462085848,Mali,malian
-10.4950790450357,20.46673121282,Mauritania,mauritanian
-8.81721258725081,28.6875981349793,Morocco,moroccan
-16.8326569310596,38.0202883437467,Portugal,portuguese
-14.6108753683523,14.2288614917634,Senegal,senegalese
-11.8087815665535,8.54359329315396,Sierra Leone,sierra leonean
-42.1867936429987,74.147936015195,Greenland,greenlander
-8.25882676187456,53.3061467620702,Ireland,irish
-4.53299505546845,54.2285530100801,Isle of Man,manx
-3.15699556322275,54.9008322786185,United Kingdom,british
-19.056829671061,65.1236092020551,Iceland,icelander
-6.85202042896381,61.9710145324428,Faroe Islands,faroese
56.8666541811743,-43.657478845818,New Zealand,new zealander
17.4780080462529,-11.8975894764466,Angola,angolan
23.8577995699561,-22.2366090020629,Botswana,motswana
29.8851822784529,-3.26125199327864,Burundi,burundian
43.8181751927212,-11.9694455952208,Comoros,comoran
11.8394108985458,-0.628448459921234,Gabon,gabonese
37.9530941126237,0.689918231837618,Kenya,kenyan
28.2447531786423,-29.6016811692482,Lesotho,mosotho
34.2344118229888,-13.128986464184,Malawi,malawian
35.2085770312902,-17.5252303094887,Mozambique,mozambican
18.1645134584527,-21.9085816328147,Namibia,namibian
29.9194396817641,-2.01468746004715,Rwanda,rwandan
27.578231339253,-32.7297661731127,South Africa,south-african
34.9357426476848,-6.35360420423765,Tanzania,tanzanian
27.755213634309,-13.1628329531862,Zambia,zambian
29.7178296407208,-18.9270012198147,Zimbabwe,zimbabwean
46.6849346683254,-19.0416361249304,Madagascar,malagasy
59.6886127186801,-20.0605017037634,Mauritius,mauritian
45.1486738388392,-12.8214499951657,Mayotte,mahoran
51.2890417536597,-6.84734113213923,Seychelles,seychellois
2.65584647197691,28.3509697448891,Algeria,algerian
2.30571452883021,9.50301319961589,Benin,beninese
12.9484741423983,6.29416848748099,Cameroon,cameroonian
20.5207434193973,6.33139003394432,Central African Republic,central african
